SMILES,title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
CC[NH+](CC)CCN(CCS)CCS,"ligprep_1.sdf:1",1,Done,1.968,0.0657671,"glide-grid_1",-0.310033,-0.851864,0,-0,-2.01511,-19.8138,-4.67314,4.28065,-0.0320494,-22.2606,-24.4869,5.75356
CCN(CC)CC[NH+](CCS)CCS,"ligprep_1.sdf:1",2,Done,0.703,-0.115717,"glide-grid_1",-0.874517,-0.626752,-0.227548,-0,-2.23768,-22.8353,-5.7141,4.28065,-0.06431,-28.1878,-28.5494,5.56773
CC[NH+](CC)CC[NH+](CCS)CCS,"ligprep_1.sdf:1",3,Done,0.485,0.147779,"glide-grid_1",-1.28262,-0.827301,-0.32,-0,-2.23906,-16.9028,-8.42126,4.24986,-0.0377892,-27.2431,-25.3241,3.55329
CCN(CC)CC[N@H+](CC[S-])CCS,"ligprep_1.sdf:1",4,Done,0.609,0.342283,"glide-grid_1",-1.27732,-0.743574,-0.32,-0,-2.24698,-20.4098,-4.28054,3.69581,0,-25.1323,-24.6904,3.93199
CCN(CC)CC[N@@H+](CC[S-])CCS,"ligprep_1.sdf:1",5,Done,0.5,0.298612,"glide-grid_1",-1.32099,-0.449886,-0.230005,-0,-2.47198,-18.8796,-6.13962,3.69581,0,-23.2843,-25.0193,8.93979
CC[NH+](CC)CC[N@H+](CC[S-])CCS,"ligprep_1.sdf:1",6,Done,0.485,1.5461,"glide-grid_1",-0.796804,-0.736726,0,-0,-2.01511,-16.9125,-5.74249,3.66913,-0.00709865,-21.3692,-22.655,6.09165
CC[NH+](CC)CC[N@@H+](CC[S-])CCS,"ligprep_1.sdf:1",7,Done,0.484,-0.0476977,"glide-grid_1",-2.3906,-0.387247,-0.491898,-0,-2.5713,-17.7579,-10.8092,3.66913,-0.1,-32.4509,-28.5671,7.17454
CC[NH+](CC)CCN(CCS)CCS,"ligprep_1.sdf:1",8,Done,0.578,0.0657671,"glide-grid_1",-0.310033,-0.851864,0,-0,-2.01511,-19.8138,-4.67314,4.28065,-0.0320494,-22.2606,-24.4869,5.75356
CCN(CC)CC[NH+](CCS)CCS,"ligprep_1.sdf:1",9,Done,0.828,-0.115717,"glide-grid_1",-0.874517,-0.626752,-0.227548,-0,-2.23768,-22.8353,-5.7141,4.28065,-0.06431,-28.1878,-28.5494,5.56773
CC[NH+](CC)CC[NH+](CCS)CCS,"ligprep_1.sdf:1",10,Done,0.484,0.147779,"glide-grid_1",-1.28262,-0.827301,-0.32,-0,-2.23906,-16.9028,-8.42126,4.24986,-0.0377892,-27.2431,-25.3241,3.55329
CCN(CC)CC[N@H+](CC[S-])CCS,"ligprep_1.sdf:1",11,Done,0.515,0.342283,"glide-grid_1",-1.27732,-0.743574,-0.32,-0,-2.24698,-20.4098,-4.28054,3.69581,0,-25.1323,-24.6904,3.93199
CCN(CC)CC[N@@H+](CC[S-])CCS,"ligprep_1.sdf:1",12,Done,0.469,0.298612,"glide-grid_1",-1.32099,-0.449886,-0.230005,-0,-2.47198,-18.8796,-6.13962,3.69581,0,-23.2843,-25.0193,8.93979
CC[NH+](CC)CC[N@H+](CC[S-])CCS,"ligprep_1.sdf:1",13,Done,0.5,1.5461,"glide-grid_1",-0.796804,-0.736726,0,-0,-2.01511,-16.9125,-5.74249,3.66913,-0.00709865,-21.3692,-22.655,6.09165
CC[NH+](CC)CC[N@@H+](CC[S-])CCS,"ligprep_1.sdf:1",14,Done,0.547,-0.0476977,"glide-grid_1",-2.3906,-0.387247,-0.491898,-0,-2.5713,-17.7579,-10.8092,3.66913,-0.1,-32.4509,-28.5671,7.17454
CC[NH+](CC)CCN(CCS)CCS,"ligprep_1.sdf:1",15,Done,0.625,0.0657671,"glide-grid_1",-0.310033,-0.851864,0,-0,-2.01511,-19.8138,-4.67314,4.28065,-0.0320494,-22.2606,-24.4869,5.75356
CCN(CC)CC[NH+](CCS)CCS,"ligprep_1.sdf:1",16,Done,0.907,-0.115717,"glide-grid_1",-0.874517,-0.626752,-0.227548,-0,-2.23768,-22.8353,-5.7141,4.28065,-0.06431,-28.1878,-28.5494,5.56773
CC[NH+](CC)CC[NH+](CCS)CCS,"ligprep_1.sdf:1",17,Done,0.687,0.147779,"glide-grid_1",-1.28262,-0.827301,-0.32,-0,-2.23906,-16.9028,-8.42126,4.24986,-0.0377892,-27.2431,-25.3241,3.55329
CCN(CC)CC[N@@H+](CC[S-])CCS,"ligprep_1.sdf:1",18,Done,0.547,0.298612,"glide-grid_1",-1.32099,-0.449886,-0.230005,-0,-2.47198,-18.8796,-6.13962,3.69581,0,-23.2843,-25.0193,8.93979
CCN(CC)CC[N@H+](CC[S-])CCS,"ligprep_1.sdf:1",19,Done,0.719,0.342283,"glide-grid_1",-1.27732,-0.743574,-0.32,-0,-2.24698,-20.4098,-4.28054,3.69581,0,-25.1323,-24.6904,3.93199
CC[NH+](CC)CC[N@@H+](CC[S-])CCS,"ligprep_1.sdf:1",20,Done,0.469,-0.0476977,"glide-grid_1",-2.3906,-0.387247,-0.491898,-0,-2.5713,-17.7579,-10.8092,3.66913,-0.1,-32.4509,-28.5671,7.17454
CC[NH+](CC)CC[N@H+](CC[S-])CCS,"ligprep_1.sdf:1",21,Done,0.5,1.5461,"glide-grid_1",-0.796804,-0.736726,0,-0,-2.01511,-16.9125,-5.74249,3.66913,-0.00709865,-21.3692,-22.655,6.09165
CC[NH+](CC)CCN(CCS)CCS,"ligprep_1.sdf:1",22,Done,0.547,0.0657671,"glide-grid_1",-0.310033,-0.851864,0,-0,-2.01511,-19.8138,-4.67314,4.28065,-0.0320494,-22.2606,-24.4869,5.75356
CCN(CC)CC[NH+](CCS)CCS,"ligprep_1.sdf:1",23,Done,0.609,-0.115717,"glide-grid_1",-0.874517,-0.626752,-0.227548,-0,-2.23768,-22.8353,-5.7141,4.28065,-0.06431,-28.1878,-28.5494,5.56773
CC[NH+](CC)CC[NH+](CCS)CCS,"ligprep_1.sdf:1",24,Done,0.531,0.147779,"glide-grid_1",-1.28262,-0.827301,-0.32,-0,-2.23906,-16.9028,-8.42126,4.24986,-0.0377892,-27.2431,-25.3241,3.55329
CCN(CC)CC[N@@H+](CC[S-])CCS,"ligprep_1.sdf:1",25,Done,0.625,0.511785,"glide-grid_1",-1.10781,-0.461007,-0.307639,-0,-2.39527,-19.1775,-4.53888,3.69581,0,-22.8139,-23.7164,6.01587
CCN(CC)CC[N@H+](CC[S-])CCS,"ligprep_1.sdf:1",26,Done,0.75,0.453874,"glide-grid_1",-1.16573,-0.72556,-0.312036,-0,-2.24698,-17.0403,-4.83296,3.69581,0,-22.0337,-21.8733,4.17604
CC[NH+](CC)CC[N@@H+](CC[S-])CCS,"ligprep_1.sdf:1",27,Done,0.609,-1.90254,"glide-grid_1",-4.24544,-0.3804,-0.44499,-0,-2.99511,-16.3957,-13.8236,2.56839,-0.1,-41.1969,-30.2194,5.88203
CC[NH+](CC)CC[N@H+](CC[S-])CCS,"ligprep_1.sdf:1",28,Done,0.547,0.318212,"glide-grid_1",-2.02469,-0.307073,-0.197523,-0,-2.69011,-18.9612,-9.67367,3.66913,-0.1,-30.5186,-28.6349,8.384
CC[NH+](CC)CCN(CCS)CCS,"ligprep_1.sdf:1",29,Done,0.547,0.0657671,"glide-grid_1",-0.310033,-0.851864,0,-0,-2.01511,-19.8138,-4.67314,4.28065,-0.0320494,-22.2606,-24.4869,5.75356
CCN(CC)CC[NH+](CCS)CCS,"ligprep_1.sdf:1",30,Done,0.703,-0.115717,"glide-grid_1",-0.874517,-0.626752,-0.227548,-0,-2.23768,-22.8353,-5.7141,4.28065,-0.06431,-28.1878,-28.5494,5.56773
CC[NH+](CC)CC[NH+](CCS)CCS,"ligprep_1.sdf:1",31,Done,0.562,0.147779,"glide-grid_1",-1.28262,-0.827301,-0.32,-0,-2.23906,-16.9028,-8.42126,4.24986,-0.0377892,-27.2431,-25.3241,3.55329
CCN(CC)CC[N@H+](CC[S-])CCS,"ligprep_1.sdf:1",32,Done,0.578,0.453874,"glide-grid_1",-1.16573,-0.72556,-0.312036,-0,-2.24698,-17.0403,-4.83296,3.69581,0,-22.0337,-21.8733,4.17604
CCN(CC)CC[N@@H+](CC[S-])CCS,"ligprep_1.sdf:1",33,Done,0.578,0.511785,"glide-grid_1",-1.10781,-0.461007,-0.307639,-0,-2.39527,-19.1775,-4.53888,3.69581,0,-22.8139,-23.7164,6.01587
CC[NH+](CC)CC[N@H+](CC[S-])CCS,"ligprep_1.sdf:1",34,Done,0.579,0.318212,"glide-grid_1",-2.02469,-0.307073,-0.197523,-0,-2.69011,-18.9612,-9.67367,3.66913,-0.1,-30.5186,-28.6349,8.384
CC[NH+](CC)CC[N@@H+](CC[S-])CCS,"ligprep_1.sdf:1",35,Done,0.578,-1.90254,"glide-grid_1",-4.24544,-0.3804,-0.44499,-0,-2.99511,-16.3957,-13.8236,2.56839,-0.1,-41.1969,-30.2194,5.88203
