SMILES,title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
[NH3+]C(CO)(CO)CCc1ccc(Sc2cccc(OCc3ccccc3)c2)cc1Cl,"ligprep_1.sdf:3",1,Done,61.578,-6.73204,"glide-grid_1",-6.78234,-1.25946,-0.669757,-0,-0.905036,-30.8114,-20.1048,0.707159,-0.0989488,-76.1457,-50.9162,4.78821
NC(CO)(CO)CCc1ccc(Sc2cccc(OCc3ccccc3)c2)cc1Cl,"ligprep_1.sdf:3",2,Done,54.469,-2.40122,"glide-grid_1",-3.88792,-0.782535,-0.423801,-0,-0.381908,-29.8999,-12.1272,1.0144,0,-50.0611,-42.0271,6.56126
[NH3+]C(CO)(CO)CCc1ccc(Sc2cccc(OCc3ccccc3)c2)cc1Cl,"ligprep_1.sdf:3",3,Done,59.14,-6.73204,"glide-grid_1",-6.78234,-1.25946,-0.669757,-0,-0.905036,-30.8114,-20.1048,0.707159,-0.0989488,-76.1457,-50.9162,4.78821
NC(CO)(CO)CCc1ccc(Sc2cccc(OCc3ccccc3)c2)cc1Cl,"ligprep_1.sdf:3",4,Done,51.328,-2.40122,"glide-grid_1",-3.88792,-0.782535,-0.423801,-0,-0.381908,-29.8999,-12.1272,1.0144,0,-50.0611,-42.0271,6.56126
NC(=[NH2+])Nc1ccc2c(c1)C(=O)N(CCC(=O)N[C@H](CC(=O)[O-])c1cccnc1)C2,"ligprep_1.sdf:7",5,Done,20.578,-5.37524,"glide-grid_1",-5.38944,-0.273284,-0.726662,-0,-1.29421,-22.4663,-16.1089,0.654916,-0.210556,-59.7835,-38.5752,10.3781
NC(=[NH2+])Nc1ccc2c(c1)C(=O)N(CCC(=O)N[C@H](CC(=O)[O-])c1ccc[nH+]c1)C2,"ligprep_1.sdf:7",6,Done,21.75,-5.62572,"glide-grid_1",-7.84442,-0.592902,-0.733348,-0,-2.15366,-30.2539,-21.628,0.652024,-0.259649,-89.7257,-51.8819,9.75592
NC(=[NH2+])Nc1ccc2c(c1)C(=O)N(CCC(=O)N[C@@H](CC(=O)[O-])c1cccnc1)C2,"ligprep_1.sdf:7",7,Done,17.422,-5.26511,"glide-grid_1",-5.27931,-0.391049,-0.52793,-0,-1.32661,-21.1437,-16.1531,0.654916,-0.208488,-56.9012,-37.2968,8.24746
NC(=[NH2+])Nc1ccc2c(c1)C(=O)N(CCC(=O)N[C@@H](CC(=O)[O-])c1ccc[nH+]c1)C2,"ligprep_1.sdf:7",8,Done,17.094,-3.81322,"glide-grid_1",-6.03192,-0.15012,-0.692393,-0,-1.53954,-21.3423,-19.2565,0.652024,-0.346306,-68.7367,-40.5988,12.0944
NC(=[NH2+])Nc1ccc2c(c1)C(=O)N(CCC(=O)N[C@H](CC(=O)[O-])c1cccnc1)C2,"ligprep_1.sdf:7",9,Done,18.406,-5.37524,"glide-grid_1",-5.38944,-0.273284,-0.726662,-0,-1.29421,-22.4663,-16.1089,0.654916,-0.210556,-59.7835,-38.5752,10.3781
NC(=[NH2+])Nc1ccc2c(c1)C(=O)N(CCC(=O)N[C@H](CC(=O)[O-])c1ccc[nH+]c1)C2,"ligprep_1.sdf:7",10,Done,19.375,-5.62572,"glide-grid_1",-7.84442,-0.592902,-0.733348,-0,-2.15366,-30.2539,-21.628,0.652024,-0.259649,-89.7257,-51.8819,9.75592
NC(=[NH2+])Nc1ccc2c(c1)C(=O)N(CCC(=O)N[C@@H](CC(=O)[O-])c1cccnc1)C2,"ligprep_1.sdf:7",11,Done,15.703,-5.26511,"glide-grid_1",-5.27931,-0.391049,-0.52793,-0,-1.32661,-21.1437,-16.1531,0.654916,-0.208488,-56.9012,-37.2968,8.24746
NC(=[NH2+])Nc1ccc2c(c1)C(=O)N(CCC(=O)N[C@@H](CC(=O)[O-])c1ccc[nH+]c1)C2,"ligprep_1.sdf:7",12,Done,16.453,-3.81322,"glide-grid_1",-6.03192,-0.15012,-0.692393,-0,-1.53954,-21.3423,-19.2565,0.652024,-0.346306,-68.7367,-40.5988,12.0944
O=C(NCc1ncccc1F)c1coc(CC[NH2+]CCc2nc3ccccc3[nH]2)n1,"ligprep_1.sdf:8",13,Done,13.031,-5.48728,"glide-grid_1",-5.50808,-0.565113,-0.533794,-0,-0.898841,-33.6889,-16.4049,0.939678,-0.304824,-70.1574,-50.0939,4.61465
O=C(NCc1ncccc1F)c1coc(CC[NH2+]CCc2[nH]c3ccccc3[nH+]2)n1,"ligprep_1.sdf:8",14,Done,16.266,-3.46034,"glide-grid_1",-5.54364,-1.11189,-0.461208,-0,-0.835604,-30.0198,-16.1866,0.935519,-0.141473,-67.3031,-46.2064,8.67273
O=C(NCc1ncccc1F)c1coc(CC[NH2+]CCc2nc3ccccc3[nH]2)n1,"ligprep_1.sdf:8",15,Done,13.047,-5.48728,"glide-grid_1",-5.50808,-0.565113,-0.533794,-0,-0.898841,-33.6889,-16.4049,0.939678,-0.304824,-70.1574,-50.0939,4.61465
O=C(NCc1ncccc1F)c1coc(CC[NH2+]CCc2[nH]c3ccccc3[nH+]2)n1,"ligprep_1.sdf:8",16,Done,16.266,-3.46034,"glide-grid_1",-5.54364,-1.11189,-0.461208,-0,-0.835604,-30.0198,-16.1866,0.935519,-0.141473,-67.3031,-46.2064,8.67273
Cn1cc(-c2ccc3cnc(NC(=O)c4ccnc(N5CC[NH+](C)CC5)c4)cc3c2)cn1,"ligprep_1.sdf:11",17,Done,4.219,-5.27311,"glide-grid_1",-5.30341,-0.342486,-0.334429,-0,-0.769145,-31.7633,-17.5976,0.540907,-0.170463,-72.5852,-49.3609,3.4178
CN1CCN(c2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)ccn2)CC1,"ligprep_1.sdf:11",18,Done,7.344,-2.16579,"glide-grid_1",-3.94439,-0.566508,-0.16,-0,-0.647508,-33.2433,-8.56465,0.543219,-0.166733,-50.298,-41.808,4.11766
Cn1cc(-c2ccc3cnc(NC(=O)c4ccnc(N5CC[NH+](C)CC5)c4)cc3c2)cn1,"ligprep_1.sdf:11",19,Done,4.281,-5.27311,"glide-grid_1",-5.30341,-0.342486,-0.334429,-0,-0.769145,-31.7633,-17.5976,0.540907,-0.170463,-72.5852,-49.3609,3.4178
