SMILES,title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_glide_XP_ClBr","r_glide_XP_Electro","r_glide_XP_GScore","r_glide_XP_HBond","i_glide_XP_impact_version","r_glide_XP_LipophilicEvdW","r_glide_XP_LowMW","r_glide_XP_Penalties","r_glide_XP_HBPenal","r_glide_XP_ExposPenal","r_glide_XP_RotPenal","r_glide_XP_PhobEn","r_glide_XP_PhobEnHB","r_glide_XP_PhobEnPairHB","r_glide_XP_PiCat","r_glide_XP_PiStack","i_glide_XP_PoseRank","r_glide_XP_Sitemap","r_glide_XP_Zpotr","r_i_glide_gscore","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_energy","r_i_glide_einternal","r_i_glide_emodel"
[NH3+]C(CO)(CO)CCc1ccc(Sc2cccc(OCc3ccccc3)c2)cc1Cl,"ligprep_1.sdf:3",1,Done,94.984,-5.92051,"glide-grid_1",,,-5.97081,-1.43515,,,,,,,,,,,,,1,,,-5.97081,-31.377,-20.4338,-51.8107,4.23104,-62.8394
[NH3+]C(CO)(CO)CCc1ccc(Sc2cccc(OCc3ccccc3)c2)cc1Cl,"ligprep_1.sdf:3",2,Done,80.266,-5.45314,"glide-grid_1",,,-5.50344,-1.61131,,,,,,,,,,,,,1,,,-5.50344,-32.1063,-13.0647,-45.171,6.58542,-68.4376
NC(=[NH2+])Nc1ccc2c(c1)C(=O)N(CCC(=O)N[C@H](CC(=O)[O-])c1cccnc1)C2,"ligprep_1.sdf:7",3,Done,71.969,-6.62396,"glide-grid_1",,,-6.63816,-2.56253,,,,,,,,,,,,,1,,,-6.63816,-29.4994,-16.912,-46.4114,6.75551,-60.979
NC(=[NH2+])Nc1ccc2c(c1)C(=O)N(CCC(=O)N[C@H](CC(=O)[O-])c1ccc[nH+]c1)C2,"ligprep_1.sdf:7",4,Done,80.765,-5.63792,"glide-grid_1",,,-7.85662,-2.52735,,,,,,,,,,,,,1,,,-7.85662,-29.9036,-18.4789,-48.3825,8.46856,-69.9574
NC(=[NH2+])Nc1ccc2c(c1)C(=O)N(CCC(=O)N[C@@H](CC(=O)[O-])c1cccnc1)C2,"ligprep_1.sdf:7",5,Done,48.891,-6.98561,"glide-grid_1",,,-6.99981,-1.82506,,,,,,,,,,,,,1,,,-6.99981,-31.7126,-14.8735,-46.5861,5.54089,-64.2557
NC(=[NH2+])Nc1ccc2c(c1)C(=O)N(CCC(=O)N[C@H](CC(=O)[O-])c1cccnc1)C2,"ligprep_1.sdf:7",6,Done,114.656,-6.4087,"glide-grid_1",,,-6.4229,-2.62837,,,,,,,,,,,,,1,,,-6.4229,-27.2414,-17.8838,-45.1252,9.60684,-62.4754
NC(=[NH2+])Nc1ccc2c(c1)C(=O)N(CCC(=O)N[C@H](CC(=O)[O-])c1ccc[nH+]c1)C2,"ligprep_1.sdf:7",7,Done,83.719,-5.63792,"glide-grid_1",,,-7.85662,-2.52735,,,,,,,,,,,,,1,,,-7.85662,-29.9036,-18.4789,-48.3825,8.46856,-69.9574
NC(=[NH2+])Nc1ccc2c(c1)C(=O)N(CCC(=O)N[C@@H](CC(=O)[O-])c1cccnc1)C2,"ligprep_1.sdf:7",8,Done,48.187,-6.98561,"glide-grid_1",,,-6.99981,-1.82506,,,,,,,,,,,,,1,,,-6.99981,-31.7126,-14.8735,-46.5861,5.54089,-64.2557
O=C(NCc1ncccc1F)c1coc(CC[NH2+]CCc2nc3ccccc3[nH]2)n1,"ligprep_1.sdf:8",9,Done,111.906,-7.93598,"glide-grid_1",,,-7.95678,-2.23,,,,,,,,,,,,,1,,,-7.95678,-32.5943,-15.9176,-48.5119,4.21462,-72.6794
O=C(NCc1ncccc1F)c1coc(CC[NH2+]CCc2nc3ccccc3[nH]2)n1,"ligprep_1.sdf:8",10,Done,114.234,-7.93598,"glide-grid_1",,,-7.95678,-2.23,,,,,,,,,,,,,1,,,-7.95678,-32.5943,-15.9176,-48.5119,4.21462,-72.6794
Cn1cc(-c2ccc3cnc(NC(=O)c4ccnc(N5CC[NH+](C)CC5)c4)cc3c2)cn1,"ligprep_1.sdf:11",11,Done,43.032,-3.85269,"glide-grid_1",,,-3.88299,0,,,,,,,,,,,,,1,,,-3.88299,-33.5361,-14.0993,-47.6354,1.76985,-64.2586
Cn1cc(-c2ccc3cnc(NC(=O)c4ccnc(N5CC[NH+](C)CC5)c4)cc3c2)cn1,"ligprep_1.sdf:11",12,Done,43.703,-3.85269,"glide-grid_1",,,-3.88299,0,,,,,,,,,,,,,1,,,-3.88299,-33.5361,-14.0993,-47.6354,1.76985,-64.2586
CC(C)C[NH+](CCCN1CC[NH+](CCCNc2nc3ccccc3[nH]2)CC1)CC(C)C,"ligprep_1.sdf:16",13,Done,161.922,-5.79937,"glide-grid_1",,,-6.33287,-1.65273,,,,,,,,,,,,,1,,,-6.33287,-23.5392,-15.0973,-38.6365,9.78476,-50.6118
CC(C)C[NH+](CCCN1CC[NH+](CCCNc2[nH]c3ccccc3[nH+]2)CC1)CC(C)C,"ligprep_1.sdf:16",14,Done,151.843,-3.9242,"glide-grid_1",,,-4.5166,-1.62142,,,,,,,,,,,,,1,,,-4.5166,-28.3712,-13.7817,-42.1529,7.81543,-53.8439
CC(C)C[NH+](CCCN1CC[NH+](CCCNc2nc3ccccc3[nH]2)CC1)CC(C)C,"ligprep_1.sdf:16",15,Done,179.109,-5.79937,"glide-grid_1",,,-6.33287,-1.65273,,,,,,,,,,,,,1,,,-6.33287,-23.5392,-15.0973,-38.6365,9.78476,-50.6118
