molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"ligprep_1.sdf:1",1,2,0,0,0,11,2,-2,236.433,3.247,513.342,393.081,0.000,0.000,120.261,878.723,1.600,5.000,0.0120007,0.0123203,0.8642899,21.949,7.590,11.439,5.838,2.753,-0.210,-0.210,-5.180,616.169,-1.307,1635.281,-4.589,8.883,-0.403,4,-0.397,3,92.995,0.000,0.000,7.244,2,0,0,0,0,0,14,0,3.756
"ligprep_1.sdf:1",1,2,0,0,0,11,2,2,236.433,2.298,516.385,356.345,1.487,0.000,158.553,884.551,1.600,5.000,0.0059687,0.0122477,0.8629910,22.183,7.921,11.633,5.869,2.235,-0.428,-0.005,-5.201,596.483,1.073,2559.244,-4.616,9.242,-0.225,4,-0.383,3,89.710,0.000,0.000,8.121,2,0,0,0,0,0,14,0,2.138
"ligprep_1.sdf:1",1,2,0,0,0,11,2,-2,236.433,1.965,542.291,383.815,0.000,0.000,158.476,909.302,1.600,5.000,0.0042469,0.0116627,0.8370248,23.173,8.047,11.873,5.921,3.389,-0.860,-0.860,-5.621,616.169,-1.325,2648.068,-4.589,9.151,-0.212,4,-0.337,3,96.717,0.000,0.000,7.840,2,0,0,0,0,0,14,0,0.842
"ligprep_1.sdf:1",1,2,0,0,0,11,2,2,236.433,1.229,497.959,364.378,1.454,0.000,132.127,865.510,1.600,5.000,0.0017459,0.0127010,0.8820365,21.421,7.649,11.227,5.815,2.030,-0.009,-0.005,-4.893,596.920,1.009,1835.242,-4.615,8.903,-0.107,4,-0.419,3,88.517,0.000,0.000,7.179,2,0,0,0,0,0,14,0,5.619
"ligprep_1.sdf:1",1,2,0,0,0,11,2,2,236.433,2.608,535.572,376.247,0.203,0.000,159.122,898.053,1.600,5.000,0.0075739,0.0118090,0.8405213,22.723,7.953,11.774,5.907,2.315,-0.750,-0.005,-5.565,613.447,1.086,2656.989,-4.592,9.093,0.060,4,-0.363,3,90.394,0.000,0.000,8.266,2,0,0,0,0,0,14,0,1.075
"ligprep_1.sdf:1",2,2,0,0,0,11,2,2,236.433,3.446,506.468,394.176,0.036,0.000,112.256,874.329,1.600,5.000,0.0135827,0.0124876,0.8730985,21.774,7.536,11.384,5.819,2.012,-0.062,-0.005,-5.038,615.688,0.973,1476.974,-4.589,8.709,-0.200,4,-0.402,3,88.653,0.000,0.000,6.064,2,0,0,0,0,0,14,0,5.278
"ligprep_1.sdf:1",2,2,0,0,0,11,2,-2,236.433,2.200,526.131,387.823,0.000,0.000,138.308,897.041,1.600,5.000,0.0053966,0.0120209,0.8549605,22.682,7.855,11.671,5.875,3.043,-0.502,-0.502,-5.331,616.169,-1.317,2053.298,-4.589,8.901,-0.109,4,-0.357,3,94.695,0.000,0.000,6.478,2,0,0,0,0,0,14,0,1.921
"ligprep_1.sdf:1",1,2,0,0,0,11,2,-2,236.433,3.247,513.342,393.081,0.000,0.000,120.261,878.723,1.600,5.000,0.0120007,0.0123203,0.8642899,21.949,7.590,11.439,5.838,2.753,-0.210,-0.210,-5.180,616.169,-1.307,1635.281,-4.589,8.883,-0.403,4,-0.397,3,92.995,0.000,0.000,7.244,2,0,0,0,0,0,14,0,3.756
"ligprep_1.sdf:1",1,2,0,0,0,11,2,2,236.433,2.298,516.385,356.345,1.487,0.000,158.553,884.551,1.600,5.000,0.0059687,0.0122477,0.8629910,22.183,7.921,11.633,5.869,2.235,-0.428,-0.005,-5.201,596.483,1.073,2559.244,-4.616,9.242,-0.225,4,-0.383,3,89.710,0.000,0.000,8.121,2,0,0,0,0,0,14,0,2.138
"ligprep_1.sdf:1",1,2,0,0,0,11,2,-2,236.433,1.965,542.291,383.815,0.000,0.000,158.476,909.302,1.600,5.000,0.0042469,0.0116627,0.8370248,23.173,8.047,11.873,5.921,3.389,-0.860,-0.860,-5.621,616.169,-1.325,2648.068,-4.589,9.151,-0.212,4,-0.337,3,96.717,0.000,0.000,7.840,2,0,0,0,0,0,14,0,0.842
