"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL4469131";"";"None";"552.68";"2";"0.35";"17";"CN(C(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL4390123";"Inhibition of Dengue virus serotype 2 NS2B-NS3 protease preincubated with protein for 15 mins followed by Abz-Nle-Lys-Arg-Arg-Ser-3-(NO2)Tyr substrate addition and measured by continuous fluorometric analysis";"B";"BAO_0000357";"single protein format";"dengue virus type 2";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL4387750";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2019";"None";"";"";""
"CHEMBL4522006";"";"None";"462.47";"1";"6.13";"4";"O=C(Nc1nc2cc(O)c(O)cc2s1)c1ccccc1Sc1ccc(C(F)(F)F)cc1";"IC50";"'='";"9100.0";"nM";"5.04";"";"";"UO_0000065";"10.90";"0.22";"-1.09";"6.11";"0";"CHEMBL4398294";"Inhibition of GST-tagged DENV3 NS2B-NS3 serine protease expressed in Escherichia coli BL21Gold(DE3) using Boc-Gly-Arg-Arg-7-amino-4-methylcoumarin as substrate measured after 10 mins by fluorometric assay";"B";"BAO_0000019";"assay format";"dengue virus type 3";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL4396891";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";"";"";""
"CHEMBL4457482";"";"None";"410.48";"1";"5.20";"6";"CCCCCCCCCCCCCCCC[N+](CC)(CO)CO.[Br-]";"IC50";"'='";"22630.0";"nM";"4.64";"";"";"UO_0000065";"14.05";"0.28";"-0.55";"11.48";"0";"CHEMBL4398301";"Inhibition of DENV1 NS2B-NS3 serine protease after 2 hrs";"B";"BAO_0000357";"single protein format";"dengue virus type 1";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL4396891";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";"";"";""
"CHEMBL4441383";"";"None";"389.79";"0";"3.56";"17";"COC(=O)c1[nH]c2ccc(Cl)cc2c1C(=O)c1cc(OC)c(O)c(OC)c1";"IC50";"'='";"4700.0";"nM";"5.33";"";"";"UO_0000065";"13.67";"0.27";"1.77";"5.44";"0";"CHEMBL4398408";"Inhibition of DENV2 NS2B-NS3 serine protease using Boc-GRR-AMC as substrate after 30 mins";"B";"BAO_0000357";"single protein format";"dengue virus type 2";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL4396891";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";"";"";""
"CHEMBL1890959";"";"None";"562.58";"1";"4.42";"SID57266928";"Cc1noc(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3NS(=O)(=O)c3ccc(F)c(F)c3)cc2)c1C";"IC50";"";"33160.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1529705";"";"None";"491.94";"1";"5.23";"SID17415724";"O=C1Nc2ccc(F)cc2C12Nc1ccccc1-c1nnc(SCc3ccccc3Cl)nc1O2";"IC50";"'>'";"100000.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL3145109";"";"None";"481.51";"0";"4.35";"SID17511497";"Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1cccc([N+](=O)[O-])c1)c1c(C)[nH]n(-c2ccccc2)c1=O";"IC50";"";"52870.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1425600";"";"None";"458.47";"1";"5.30";"SID49825037";"CCCOc1cccc(C2C(C(=O)c3cc4ccccc4o3)=C(O)C(=O)N2c2cc(C)on2)c1";"IC50";"";"32590.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1386409";"";"None";"278.36";"0";"1.56";"SID17504317";"C=CCN1C(=O)/C(=C/c2cccs2)C(=O)NC1=S";"IC50";"";"43760.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1555752";"";"None";"504.01";"1";"4.83";"SID26664026";"CCN(CC)C(=O)c1ccc2c(c1)C1C(Cl)C(Sc3ccccc3[N+](=O)[O-])CC1C(C(=O)O)N2";"IC50";"";"59050.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1794550";"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5980";"Dengue virus type 2 NS3 protein";"Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
